time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.1899269423119534e-06,2.2411442351552156e-05,10.005901693018721,0.004736078280503264,0.00037393943015917586,0.0,-0.00012580920517920466,0.0013271880575421785,0.1967080584801777,-0.02506982516047033,-0.008005278174036571,0.0,467.3364444365658,466.71221688969723,467.10895266393237,465.15024748080424
0.12000000000000001,-2.293463703624474e-05,0.00021123400713911558,10.02437959988724,0.003318146656399179,0.0010726866921944023,0.0,-0.0006654150699051938,0.004801855384098896,0.41916714629556084,-0.029703771733810724,-0.02116052636292888,0.0,475.58144056957076,474.57304740037705,473.56557586689826,473.2089491888228
0.18,-8.141905965693414e-05,0.0005880507600890218,10.053825299491942,0.007632993071478467,6.282990402947923,0.0,-0.001149322135868864,0.008198166436739951,0.5622940958896631,-0.003828232921039832,-0.023658713716600627,0.0,450.2602404893332,450.05810915768245,449.96505545470774,452.05457698806157
0.23999999999999996,-0.0001515008314332452,0.0012470876688291433,10.091891318195186,0.007507089905081976,0.0014199470406275339,0.0,-0.001342593166071336,0.013752711665611372,0.7064946996268627,-0.001300610883401975,-0.005739010635494263,0.0,450.8045517471309,452.25005079217937,450.4952243943635,450.6995892007365
0.3,-0.00026301106749910993,0.0022157782145320946,10.135648352762955,0.007610543572084794,0.0023221538746582837,0.0,-0.002471800744531688,0.0185521058046296,0.7520436261248757,-0.007319144793276219,-0.019228264163704174,0.0,420.567773883104,419.39806120303484,419.87777564248483,419.35544232540616
0.36000000000000004,-0.00045770265147661,0.0034944007091088822,10.185092213077231,0.00718178178810458,0.0011910842489326612,0.0,-0.003894059906111649,0.024020847647176168,0.8959834453074856,-0.0068801057456544966,-0.018389871402011787,0.0,450.85553376819615,450.923311624303,451.55186711054785,451.5873901881059
0.4200000000000001,-0.000713907321656469,0.0050943755195833286,10.243151088643035,0.007290017651380154,0.00022100076077080644,0.0,-0.004546647573646087,0.029332455313890966,1.03919273656794,-0.01607791775520935,-0.023765730559113962,0.0,451.64464444923397,451.21093831254666,451.41233710938764,450.66972067080167
0.48000000000000015,-0.0009872012989613334,0.007054412842665015,10.315239809674797,0.007543290070012532,6.282205027877065,0.0,-0.004409584337947179,0.0360191162699439,1.3634356700236154,-0.00512910982848783,-0.03029499012389153,0.0,504.3789640952589,503.9072034804899,503.74017812924717,504.5313298601629
0.5400000000000001,-0.001253211668426878,0.009383214675452188,10.400930422633998,0.009060387559499894,0.004189018102953135,0.0,-0.0050394306093744885,0.04175312745527651,1.4927562159229304,0.008517535198018329,-0.0604758883834351,0.0,449.0732153568148,446.6177017699469,447.49997615672544,448.60934858588877
0.6000000000000002,-0.0016508759805401896,0.01208336960701991,10.493971290413118,0.00984660968857387,0.005504296548568988,0.0,-0.00837956112825964,0.048339933043402714,1.6084485139527638,0.0014472731122782147,-0.08606279279087352,0.0,444.5378768936557,442.43274449913787,444.91827314764305,444.3389853965786
0.6600000000000003,-0.0022828769912163465,0.01523692055571353,10.596470585331117,0.014109820302804721,0.005666124499182246,0.0,-0.01267660272582211,0.05730039054847422,1.807894636053554,-0.02217154646928675,-0.06195492463105421,0.0,468.32171886032484,470.1884365863494,471.4299711833836,469.60165066253455
0.7200000000000003,-0.003150534489718017,0.01895932084381593,10.706715570640633,0.01659737712539222,0.005112167757354236,0.0,-0.016174185857527813,0.06703858398385305,1.8668397124117164,-0.04480955661414075,-0.04363496955253949,0.0,425.68185471417206,427.24428708422187,428.395667961651,426.46616496160294
0.7800000000000004,-0.00427179569451903,0.023320175173701545,10.821756139396987,0.015549203419826796,0.01752642274458527,0.0,-0.02242582263308074,0.07819994601084494,1.9676681475419882,-0.03192827810153311,-0.00234602012097199,0.0,438.8764160745721,442.2894866317449,440.0880892959328,441.1520572334685
0.8400000000000004,-0.00592136377662003,0.028275644520219436,10.93946437886421,0.013740015805780104,0.017618059810282638,0.0,-0.0325735788888633,0.08683202994746214,1.9559616410373493,-0.0368995882732889,-0.008961489201622562,0.0,404.04139379302717,403.4446335950794,404.2965792485907,403.8478633509227
0.9000000000000005,-0.008204383163269564,0.033735169121487815,11.057755205306524,0.011949464144674238,0.01806465221077147,0.0,-0.04355817760284179,0.09499449784896828,1.9870135014431383,-0.045328309589796875,0.0007726042180555338,0.0,418.0986578602582,418.9459246878452,418.5143069406157,417.77916268748135
0.9600000000000005,-0.011267715371802014,0.03972650504032512,11.183282914831295,0.013532106412800893,0.02151843725707625,0.0,-0.05897951425489677,0.10487357258639277,2.1968531040996084,-0.023775013178586338,-0.020684001709112797,0.0,475.5051547885545,473.8587637264415,472.93899875765374,474.5954356160476
1.0200000000000005,-0.01523110867829767,0.04628134628146565,11.317227445214602,0.012141248843711594,0.020977870064939452,0.0,-0.07308811153933074,0.11348191722747421,2.267828469355638,-0.022583996172876934,-0.03113055945862747,0.0,432.94959338953294,432.0696963593563,432.2241656418717,432.3244564337122
1.0800000000000005,-0.01998324856960172,0.053298104801077446,11.453107144703404,0.010985526459169392,0.021311947099623474,0.0,-0.08533276325798467,0.12030681987641319,2.2615078086599256,-0.018748377423939838,-0.01603130327123565,0.0,405.9481387166006,407.3005200405811,407.3016775525709,407.6445145524871
1.1400000000000006,-0.025574925173707786,0.06076083484026775,11.593351383313802,0.010948010211530246,0.020989266628492764,0.0,-0.10100639474012857,0.1284570321857636,2.412992783620506,-0.03143439499825021,-0.008391426980036379,0.0,456.91035099561805,457.5191199674835,458.9904295109599,457.9825294804863
